,order_date
1730,5
1731,4
1732,8
1733,11
1734,6
1735,8
1736,12
1737,2
1738,11
1739,5
1740,8
1741,7
1742,1
1743,4
1744,3
1745,10
1746,10
1747,6
1748,8
1749,1
1750,8
1751,4
1752,1
1753,11
1754,7
1755,2
1756,1
1757,9
1758,5
1759,3
1760,7
1761,8
1762,6
1763,9
1764,5
1765,9
1766,11
1767,12
1768,11
1769,7
1770,12
1771,9
1772,8
1773,7
1774,2
1775,9
1776,1
1777,4
1778,7
1779,6
1780,3
1781,1
1782,5
1783,8
1784,5
1785,1
1786,5
1787,4
1788,1
1789,11
1790,5
1791,7
1792,4
1793,1
1794,12
1795,5
1796,11
1797,12
1798,9
1799,9
1800,5
1801,7
1802,10
1803,12
1804,11
1805,1
1806,12
1807,5
1808,10
1809,6
1810,4
1811,6
1812,2
1813,6
1814,2
1815,6
1816,12
1817,2
1818,10
1819,8
1820,8
1821,7
1822,8
1823,7
1824,12
1825,10
1826,2
1827,1
1828,1
1829,5
1830,11
1831,11
1832,10
1833,12
1834,1
1835,11
1836,8
1837,12
1838,1
1839,2
1840,11
1841,6
1842,12
1843,3
1844,7
1845,12
1846,2
1847,4
1848,7
1849,9
1850,6
1851,3
1852,8
1853,8
1854,7
1855,9
1856,9
1857,2
1858,6
1859,9
1860,8
1861,4
1862,12
1863,11
1864,12
1865,11
1866,12
1867,10
1868,11
1869,12
1870,9
1871,1
1872,12
1873,9
1874,3
1875,9
1876,11
1877,3
1878,10
1879,12
1880,12
1881,12
1882,8
1883,3
1884,12
1885,9
1886,9
1887,3
1888,7
1889,4
1890,12
1891,8
1892,10
1893,12
1894,8
1895,12
1896,6
1897,11
1898,7
1899,11
1900,5
1901,3
1902,4
1903,10
1904,7
1905,12
1906,10
1907,9
1908,5
1909,2
1910,11
1911,3
1912,9
1913,1
1914,6
1915,1
1916,9
1917,3
1918,11
1919,12
1920,5
1921,8
1922,7
1923,11
1924,6
1925,5
1926,11
1927,6
1928,10
1929,7
1930,2
1931,11
1932,11
1933,6
1934,4
1935,11
1936,5
1937,5
1938,4
1939,6
1940,9
1941,3
1942,5
1943,7
1944,12
1945,8
1946,3
1947,12
1948,11
1949,9
1950,9
1951,4
1952,10
1953,8
1954,6
1955,6
1956,4
1957,6
1958,7
1959,12
1960,11
1961,6
1962,11
1963,6
1964,9
1965,9
1966,6
1967,3
1968,2
1969,9
1970,7
1971,11
1972,8
1973,11
1974,7
1975,5
1976,5
1977,5
1978,3
1979,7
1980,5
1981,9
1982,6
1983,6
1984,12
1985,6
1986,4
1987,11
1988,4
1989,11
1990,11
1991,5
1992,5
1993,11
1994,11
1995,10
1996,11
1997,2
1998,10
1999,8
2000,6
2001,7
2002,6
2003,6
2004,4
2005,12
2006,12
2007,8
2008,3
2009,6
2010,5
2011,10
2012,6
2013,4
2014,6
2015,9
2016,4
2017,2
2018,11
2019,1
2020,9
2021,1
2022,7
2023,2
2024,1
2025,9
2026,5
2027,2
2028,12
2029,12
2030,2
2031,12
2032,8
2033,12
2034,4
2035,9
2036,5
2037,1
2038,7
2039,4
2040,11
2041,1
2042,7
2043,1
2044,11
2045,8
2046,10
2047,4
2048,6
2049,9
2050,5
2051,1
2052,1
2053,12
2054,3
2055,10
2056,8
2057,12
2058,10
2059,1
2060,11
2061,7
2062,11
2063,11
2064,3
2065,8
2066,12
2067,9
2068,5
2069,8
2070,8
2071,1
2072,10
2073,8
2074,11
2075,7
2076,2
2077,10
2078,8
2079,9
2080,10
2081,8
2082,7
2083,12
2084,1
2085,8
2086,9
2087,4
2088,11
2089,11
2090,3
2091,8
2092,11
2093,8
2094,8
2095,8
2096,11
2097,9
2098,9
2099,7
2100,7
2101,6
2102,11
2103,8
2104,6
2105,6
2106,12
2107,8
2108,12
2109,2
2110,7
2111,1
2112,12
2113,9
2114,1
2115,12
2116,11
2117,10
2118,8
2119,7
2120,1
2121,10
2122,6
2123,12
2124,10
2125,2
2126,9
2127,8
2128,6
2129,8
2130,4
2131,7
2132,9
2133,9
2134,12
2135,10
2136,4
2137,2
2138,10
2139,9
2140,10
2141,12
2142,12
2143,4
2144,8
2145,2
2146,12
2147,12
2148,10
2149,12
2150,7
2151,5
2152,12
2153,1
2154,8
2155,12
2156,11
2157,10
2158,9
2159,12
2160,6
2161,6
2162,12
2163,8
2164,6
2165,4
2166,11
2167,3
2168,10
2169,5
2170,8
2171,6
2172,12
2173,2
2174,9
2175,6
2176,11
2177,6
2178,10
2179,10
2180,4
2181,4
2182,8
2183,11
2184,2
2185,9
2186,7
2187,5
2188,1
2189,9
2190,2
2191,1
2192,3
2193,8
2194,9
2195,9
2196,8
2197,5
2198,5
2199,8
2200,10
2201,11
2202,9
2203,10
2204,8
2205,1
2206,5
2207,7
2208,4
2209,3
2210,6
2211,3
2212,7
2213,12
2214,10
2215,9
2216,8
2217,9
2218,11
2219,3
2220,12
2221,10
2222,11
2223,5
2224,1
2225,9
2226,11
2227,10
2228,12
2229,2
2230,11
2231,11
2232,4
2233,8
2234,2
2235,3
2236,3
2237,12
2238,8
2239,6
2240,11
2241,5
2242,2
2243,8
2244,9
2245,1
2246,2
2247,6
2248,6
2249,12
2250,5
2251,11
2252,1
2253,4
2254,7
2255,9
2256,12
2257,8
2258,10
2259,9
2260,4
2261,2
2262,6
2263,11
2264,7
2265,8
2266,10
2267,5
2268,1
2269,9
2270,11
2271,3
2272,7
2273,12
2274,7
2275,8
2276,5
2277,1
2278,3
2279,8
2280,10
2281,2
2282,12
2283,6
2284,11
2285,4
2286,8
2287,6
2288,1
2289,2
2290,9
2291,11
2292,2
2293,3
2294,9
2295,6
2296,5
2297,9
2298,2
2299,12
2300,4
2301,1
2302,12
2303,6
2304,5
2305,6
2306,11
2307,9
2308,12
2309,7
2310,6
2311,7
2312,11
2313,10
2314,12
2315,10
2316,3
2317,10
2318,12
2319,8
2320,4
2321,9
2322,3
2323,11
2324,9
2325,1
2326,8
2327,9
2328,2
2329,11
2330,9
2331,12
2332,8
2333,12
2334,8
2335,1
2336,11
2337,1
2338,12
2339,2
2340,4
2341,12
2342,4
2343,6
2344,12
2345,10
2346,5
2347,1
2348,6
2349,4
2350,5
2351,9
2352,9
2353,8
2354,12
2355,5
2356,11
2357,8
2358,6
2359,3
2360,9
2361,6
2362,7
2363,10
2364,5
2365,11
2366,5
2367,4
2368,5
2369,7
2370,6
2371,9
2372,1
2373,4
2374,6
2375,9
2376,4
2377,6
2378,2
2379,9
2380,1
2381,10
2382,12
2383,11
2384,10
2385,10
2386,2
2387,2
2388,2
2389,9
2390,3
2391,11
2392,12
2393,6
2394,10
2395,6
2396,1
2397,8
2398,8
2399,12
2400,8
2401,9
2402,3
2403,11
2404,10
2405,11
2406,2
2407,11
2408,12
2409,11
2410,10
2411,8
2412,4
2413,2
2414,2
2415,11
2416,7
2417,4
2418,11
2419,4
2420,8
2421,6
2422,8
2423,4
2424,9
2425,12
2426,11
2427,6
2428,8
2429,12
2430,10
2431,2
2432,12
2433,6
2434,4
2435,7
2436,9
2437,2
2438,11
2439,8
2440,5
2441,12
2442,9
2443,2
2444,6
2445,6
2446,1
2447,5
2448,7
2449,10
2450,9
2451,5
2452,11
2453,8
2454,4
2455,3
2456,9
2457,6
2458,12
2459,7
2460,5
2461,9
2462,8
2463,11
2464,7
2465,12
2466,9
2467,1
2468,3
2469,7
2470,11
2471,4
2472,4
2473,4
2474,4
2475,7
2476,3
2477,6
2478,12
2479,11
2480,8
2481,6
2482,3
2483,7
2484,6
2485,10
2486,8
2487,9
2488,11
2489,11
2490,11
2491,9
2492,4
2493,9
2494,12
2495,11
2496,9
2497,12
2498,4
2499,10
2500,10
2501,7
2502,10
2503,8
2504,1
2505,12
2506,6
2507,10
2508,10
2509,7
2510,9
2511,8
2512,10
2513,12
2514,6
2515,2
2516,7
2517,12
2518,9
2519,9
2520,5
2521,3
2522,10
